run N,R134a,R32,R125,eta
0,0.9139775173064838,4.6736800074585055e-08,1.7671965802636692e-06,-0.13362569336075475
1,0.9565349704711614,3.843109673925889e-05,2.6237897871454405e-05,-0.13362141617955436
2,0.8654836896776791,1.4638328055870749e-06,3.101125821036217e-07,-0.13362570667722862
3,0.7268756364603647,6.14662775808723e-07,1.8415445435967292e-06,-0.1336256018255939
4,0.9271436018800387,2.0361836936635613e-05,9.541589513644119e-05,-0.13361710044293318
5,0.795860330303666,1.550995928194398e-06,2.849045737117982e-08,-0.13362571417626903
6,0.9542189709045313,3.8003350870982437e-06,1.4403290083907488e-06,-0.1336254843305316
7,0.8362350797062681,1.1705732559947643e-06,3.1581163817601184e-07,-0.13362572304728565
8,0.999904175225282,1.3074200118590174e-05,1.2384334793371352e-05,-0.13362414853596735
9,0.8084800187870214,9.343118419128299e-06,1.4382109735579956e-06,-0.13362500355595275
